,title,region,number_of_rooms,quadrat,price,date,Neighborhood
0,Banese me qira ne lagjen Bregu i Diellit 1+1,Prishtine,1,60m 2,250 €,10/07/2023,Kodra e Diellit
1,Banese me qira ne lagjen e Spitalit 1+1,Prishtine,1,60m 2,2 €,10/07/2023,Lagjen e Spitalit
2,Banese me qira ne lagjen Dardani 1+1,Prishtine,1,66m 2,280 €,10/07/2023,Dardania
3,Banese me qira ne lagjen Emshir 2+1,Prishtine,2,83m 2,350 €,10/07/2023,Kalabria
4,Banese me qira ne lagjen Mati 1 1+1,Prishtine,1,63m 2,250 €,10/07/2023,Ulpiana 1
5,Ofrohet banese me qira ne lagjen Aktash,Prishtine,2,82m 2,260 €,10/07/2023,Aktash
6,Leshohet banese me qira ne Qender,Prishtine,1,40m 2,200 €,10/07/2023,Qendra
7,Leshohet banese ( garsoniere ) me qira ne Ulpiane,Prishtine,1,25m 2,170 €,10/07/2023,Ulpiana
8,Banese me qira ne lagjen Bregu i diellit,Prishtine,1,52m 2,230 €,10/07/2023,Kodra e Diellit
9,Leshohet banese me qira ne lagjen Dardania,Prishtine,1,50m 2,300 €,10/07/2023,Dardania
10,Banese moderne me qira ne lagjen Arberia,Prishtine,1,60m 2,250 €,10/07/2023,Arbëria (Dragodani)
11,Banese me qira te Parku i qytetit,Prishtine,1,50m 2,250 €,10/07/2023,Lagjja e Muhaxherëve
12,Super banese me qira ne Rrugen C,Prishtine,2,91m 2,350 €,10/07/2023,Rruga C
13,Banese me qira ne Lagje te Spitalit,Prishtine,2,80m 2,320 €,10/07/2023,Lagjen e Spitalit
14,Banese me qira ne lagjen Dardania,Prishtine,1,60m 2,250 €,10/07/2023,Dardania
15,Banese me qira ne lagje te Spitalit_2+1,Prishtine,2,85m 2,400 €,10/07/2023,Lagjen e Spitalit
16,Banese me qira ne lagjen Arberia,Prishtine,1,60m 2,350 €,10/07/2023,Arbëria (Dragodani)
17,Banese me qira ne lagjen Ulpiana,Prishtine,1,40m 2,170 €,10/07/2023,Ulpiana
18,Banese me qira ne lagjen Bregu i Diellit,Prishtine,2,90m 2,450 €,10/07/2023,Kodra e Diellit
19,Banese me qira ne lagjen Emshir,Prishtine,1,55m 2,300 €,10/07/2023,Kalabria
20,Banese me qira ne lagjen Bregu i Diellit,Prishtine,2,75m 2,200 €,10/07/2023,Kodra e Diellit
21,Banese me qira ne lagjen Arberia,Prishtine,1,67m 2,320 €,10/07/2023,Arbëria (Dragodani)
22,Banese me qira ne lagjen Mati 1,Prishtine,2,77m 2,350 €,10/07/2023,Ulpiana 1
23,Banese me qira ne lagje te Muhaxhereve,Prishtine,1,65m 2,250 €,10/07/2023,Lagjja e Muhaxherëve
24,Banese me qira ne lagjen Ulpiana,Prishtine,1,65m 2,250 €,10/07/2023,Ulpiana
25,Banese me qira ne Lagjen e Spitalit,Prishtine,1,65m 2,250 €,10/07/2023,Lagjen e Spitalit
26,Banese me qira ne lagjen Bregu i Diellit_3+1,Prishtine,3,110m 2,400 €,10/07/2023,Kodra e Diellit
27,Banese me qira ne lagjen Dardania_2+1,Prishtine,2,80m 2,500 €,10/07/2023,Dardania
28,Banese me qira ne lagje te Spitalit_2+1,Prishtine,2,96m 2,400 €,10/07/2023,Lagjen e Spitalit
29,Banese me qira ne lagjen Rruga B,Prishtine,1,60m 2,260 €,10/07/2023,Rruga B
30,Banese me qira ne lagjen Bregu i Diellit,Prishtine,1,70m 2,250 €,10/07/2023,Kodra e Diellit
31,Banese me qira ne lagje te Muhaxhereve,Prishtine,1,70m 2,300 €,10/07/2023,Lagjja e Muhaxherëve
32,Banese me qira ne lagjen Emshir,Prishtine,1,55m 2,350 €,10/07/2023,Kalabria
33,Banese me qira ne lagjen Dardania,Prishtine,1,50m 2,330 €,10/07/2023,Dardania
34,Banese me qira ne lagjen Emshir_1+1,Prishtine,1,55m 2,350 €,10/07/2023,Kalabria
35,Banese me qira ne lagjen Dardani,Prishtine,1,60m 2,300 €,10/07/2023,Dardania
36,Banese me qira ne lagjen Emshir_2+1,Prishtine,3,110m 2,420 €,10/07/2023,Kalabria
37,Banese me qira ne lagjen Emshir,Prishtine,1,65m 2,320 €,10/07/2023,Kalabria
38,Banese me qira ne lagjen Arberia_2+1,Prishtine,1,85m 2,380 €,10/07/2023,Arbëria (Dragodani)
39,Banese me qira ne lagjen e Muhaxhereve 2+1,Prishtine,2,95m 2,400 €,10/07/2023,Lagjja e Muhaxherëve
40,Jap banesen me qera ne Prishtine,Prishtine,2,40m 2,170 €,10/07/2023,
41,jap banesen me qera,Prishtine,2,40m 2,170 €,10/07/2023,
42,LESHOHET BANESA ME QERA NE QENDER PER AFATSHKURTE.,Prishtine,1,18m 2,20 €,10/07/2023,Qendra
43,2 BANESA ME QERA NE KALABRI (EMSHIR),Prishtine,3,85m 2,400 €,10/07/2023,Kalabria
44,BANESA ME QERA NE QENDER,Prishtine,2,52m 2,250 €,10/07/2023,Qendra
45,BANESA ME QERA TE PARKU I QYTETIT (MAHALLA E MUHAXHERVE),Prishtine,3,90m 2,340 €,10/07/2023,Lagjja e Muhaxherëve
46,Banese me qira ne lagjen Mati 1 2+1,Prishtine,2,0m 2,500 €,10/07/2023,Ulpiana 1
