,title,region,number_of_rooms,quadrat,price
0,Banese me qira ne lagjen Bregu i Diellit 2+1,Prishtine,2,70.0,300.0
1,Banese me qira ne lagjen Sllovenia e Sportit 2+1,Prishtine,2,95.0,370.0
2,Banese me qira ne lagjen Rruga B 2+1,Prishtine,2,75.0,350.0
3,Banese me qira ne lagjen Aktash 1+1,Prishtine,1,40.0,200.0
4,Banese me qira ne lagjen Ulpiane 1+1,Prishtine,1,55.0,280.0
5,Banese me qira ne lagjen Parku i Qytetit 1+1,Prishtine,1,60.0,230.0
6,Banese me qira ne lagjen 4 Llullat 1+1,Prishtine,1,42.0,200.0
7,Banese me qira ne lagjen Qender 2+1,Prishtine,2,75.0,270.0
8,Banes(Gasoniere)me qira ne lagjen Pejton,Prishtine,1,40.0,250.0
9,Banese me qira ne lagjen Bregu i Diellit 2+1,Prishtine,2,90.0,400.0
10,Banese me qira ne lagjen Mati 1 1+1,Prishtine,1,76.0,300.0
11,Banese me qira ne lagjen Mati 1 1+1,Prishtine,1,73.0,300.0
12,Banese me qira ne lagjen Qafa 1+1,Prishtine,1,60.0,250.0
13,Banes (zyre) me qira ne Rrugen B 1+1,Prishtine,1,68.0,300.0
14,Banese me qira ne lagjen Arberia 2+1,Prishtine,2,90.0,350.0
15,Banese me qira ne lagjen Dardani 1+1,Prishtine,1,54.0,230.0
16,Banese me qira ne lagjen Dardania 1+1,Prishtine,1,70.0,350.0
17,Banese me qira ne lagjen Ulpiane 3+1,Prishtine,3,120.0,450.0
18,Banese me qira ne lagjen e Muhaxherve 3+1,Prishtine,3,100.0,450.0
19,Banese me qira ne lagjen Arberia 1+1,Prishtine,1,55.0,300.0
20,Banese ( Garsoniere ) me qira ne Ulpiane,Prishtine,1,30.0,200.0
21,Banese me qira ne lagjen Lagje e Spitalit 2+1,Prishtine,2,87.0,300.0
22,Banese me qira ne lagjen Mati 1 1+1,Prishtine,1,66.0,300.0
23,Banese me qira ne lagjen Bregu i Diellit 1+1,Prishtine,1,65.0,250.0
24,Banese me qira ne lagjen Tophane 1+1,Prishtine,1,65.0,250.0
25,Banese me qira ne lagjen Arberia 2+1,Prishtine,2,85.0,400.0
26,Banese me qira ne lagjen Dardania 1+1,Prishtine,1,60.0,250.0
27,Banese me qira ne lagjen Ulpiane 1+1,Prishtine,1,240.0,240.0
28,Banese me qira ne lagjen Qender 1+1,Prishtine,1,60.0,300.0
29,Banese me qira ne lagjen Qafa 1+1,Prishtine,1,70.0,300.0
30,Banese me qira ne lagjen Mati 1 1+1,Prishtine,1,50.0,270.0
31,Banese me qira ne lagjen Ulpiane 1+1,Prishtine,1,50.0,300.0
32,Banese me qira ne lagjen Arberia 1+1,Prishtine,1,57.0,250.0
33,Banese me qira ne lagjen Bregu i Diellit 2+1,Prishtine,2,50.0,230.0
34,Banese me qira ne lagjen Mati 1 1+1,Prishtine,1,55.0,250.0
35,Banese me qira ne lagjen Arberia 1+1,Prishtine,1,73.0,330.0
36,Banese me qira ne lagjen 4 Llullat 2+1,Prishtine,2,90.0,300.0
37,Banese me qira ne lagjen Rruga C 1+1,Prishtine,1,65.0,250.0
38,Banese me qira ne lagjen Qender 1+1,Prishtine,1,30.0,250.0
39,Banese me qira ne lagjen Dardania 2+1,Prishtine,2,65.0,320.0
40,Banese me qira ne lagjen Ulpiane 2+1,Prishtine,2,70.0,350.0
41,Banese me qira ne lagjen Bregu i Diellit,Prishtine,1,65.0,250.0
42,Banese me qira ne lagjen Arberia_2+1,Prishtine,2,90.0,500.0
43,Banese me qira ne lagjen Tophane,Prishtine,2,80.0,300.0
44,Banese me qira ne Lagje te Spitalit_2+1,Prishtine,2,82.0,330.0
45,Banese me qira ne Rrugen B_2+1,Prishtine,2,83.0,400.0
46,Banese me qira ne lagjen Dardania,Prishtine,1,65.0,280.0
47,Banese (zyre) me qira ne Qender,Prishtine,2,80.0,350.0
