,property_description,number of rooms,quadrat (m^2),date,price (euro),region_Prishtine,region_other region in kosove,seasons_Autumn,seasons_Spring,seasons_Summer,seasons_Winter,neighborhood_Aktash,neighborhood_Arbëria (Dragodani),neighborhood_Bregu i Diellit,neighborhood_Dardania,neighborhood_Kalabria,neighborhood_Lagjen e Spitalit,neighborhood_Lagjja e Muhaxherëve,neighborhood_Lakrishta,neighborhood_Other,neighborhood_Qafa,neighborhood_Qendra,neighborhood_Tophane,neighborhood_Ulpiana
0,banese me qira ne lagjen bregu i diellit,1,65.0,2023-07-11,250.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,banese me qira ne lagjen arberia21,2,90.0,2023-07-11,500.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,banese me qira ne lagjen tophane,2,80.0,2023-07-11,300.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,banese me qira ne lagje te spitalit21,2,82.0,2023-07-11,330.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,banese me qira ne rrugen b21,2,83.0,2023-07-11,400.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,banese me qira ne lagjen dardania,1,65.0,2023-07-11,280.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,banese zyre me qira ne qender,2,80.0,2023-07-11,350.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,banese me qira ne qender,1,60.0,2023-07-11,250.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,banese me qira ne lagjen aktash,1,60.0,2023-07-11,350.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,banese me qira ne lagjen lakrishte,1,67.0,2023-07-11,300.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,banese me qira ne lagjen qender 21,2,70.0,2023-07-11,300.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,banese me qira ne lagjen e spitalit 21,2,71.0,2023-07-11,250.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,banese me qira ne lagjen arberia 21,2,85.0,2023-07-11,450.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,banese me qira ne lagjen arberi 21,2,86.0,2023-07-11,400.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,banese me qira ne lagjen tophane 31,3,75.0,2023-07-11,230.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,banese me qira ne lagjen dardania 11,1,50.0,2023-07-11,200.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,banese me qira ne lagjen e muhaxherev 31,3,85.0,2023-07-11,300.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,banese me qira ne lagjen fushkosove 11,1,55.0,2023-07-11,180.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,banese me qira ne lagjen lakrishte 11,1,52.0,2023-07-11,300.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,banese me qira ne lagjen e spitalit 21,2,71.0,2023-07-11,250.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,leshohet banesa me qera ne qender mbrapa teatrit,2,50.0,2023-07-11,400.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,2 banesa me qera ne kalabri emshir,3,85.0,2023-07-11,400.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,banesa me qera ne qender,2,52.0,2023-07-11,250.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,jap banesen me qera,2,40.0,2023-07-11,170.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,ofrohet me qira banesa moderne 105m ne rrugen muharrem fejza  dream home,4,105.0,2023-07-11,550.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,banes 2 dhomshe me qira ne kalabri te kulla 1,2,85.0,2023-07-11,350.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,banes komode me qira ne mat te shkf pavarsia,2,90.0,2023-07-11,430.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,super banes me qira ne fushe kosove perball bau marketit,2,76.0,2023-07-11,250.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,super banes me qira ne aktash te pika luxury,1,45.0,2023-07-11,350.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,super banes me qira ne dardani te narteli  130 m2,2,130.0,2023-07-11,630.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,banes komode me qira ne fushe kosove afer fures vlora,1,65.0,2023-07-11,190.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,banesa 72m2 me qira te hotel sirius rozi,2,72.0,2023-07-11,350.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,banesa 85m2 me qira te muharrem fejza rozi,3,85.0,2023-07-11,350.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,banesa 64m2 me qira te muharrem fejza rozi,2,64.0,2023-07-11,350.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34,banese me qira te rruga nena tereze,3,86.0,2023-07-11,220.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,banese me qira afer shkolles mihal grameno,2,67.0,2023-07-11,250.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,banesa 64m2 me qira te muharrem fejza rozi,1,64.0,2023-07-11,400.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,banesa 50m2 me qira ne ulpiane rozi,1,50.0,2023-07-11,350.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,banese me qera ne arberi 21,2,70.0,2023-07-10,300.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39,super banese me qira ne lagjen arberia,2,85.0,2023-07-10,550.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,super banese me qira ne lagjen arberia,2,75.0,2023-07-10,400.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41,banese me qira ne lagje te spitalit,2,70.0,2023-07-10,230.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42,banese me qira ne lagje te spitalit 11,1,50.0,2023-07-10,250.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
43,super banese me qira ne lagjen arberia,2,85.0,2023-07-10,400.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,banese  penthouse  me qira ne lagjen arberia,3,132.0,2023-07-10,500.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,banese  garsoniere  me qira ne lagjen arberia,1,40.0,2023-07-10,200.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46,banese e re me qira ne veternik,1,60.0,2023-07-10,200.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47,banese me qira ne lagjen arberia 21,2,90.0,2023-07-10,450.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,banese me qira ne lagjen dardania 21,2,82.0,2023-07-10,300.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
49,banese me qira ne lagjen arberia 11,1,60.0,2023-07-10,270.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,banese me qira ne lagjen arberia 11,1,57.0,2023-07-10,250.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
51,banese me qira ne lagjen e spitalit 11,1,65.0,2023-07-10,300.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52,banese me qira ne lagjen arberia 11,1,55.0,2023-07-10,250.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,banese me qira ne lagjen arberia 21,2,84.0,2023-07-10,400.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,banese me qira ne lagjen arberia 11,1,60.0,2023-07-10,300.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,gasonjere me qira n breg t diellit 160,2,40.0,2023-07-10,160.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
56,lshohet gasonjiere me qera mbrapa hotel sirius  180 i diskutueshm,2,50.0,2023-07-10,180.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,super banes me qera tek lagjia spitalit,3,80.0,2023-07-10,350.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
58,banes me qera ne aktash,2,60.0,2023-07-10,300.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
59,banese me qira ne lagjen ulpiane 11,1,40.0,2023-07-10,250.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,banese me qira ne lagjen aktash 21,2,97.0,2023-07-10,500.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
61,banese me qira ne lagjen mati 31,3,117.0,2023-07-10,400.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,banese me qira ne lagjen ulpiane 11,1,60.0,2023-07-10,250.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,banese me qira ne lagjen bregu i diellit 11,1,60.0,2023-07-10,250.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,banese me qira ne lagjen dardani 11,1,66.0,2023-07-10,280.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
65,banese me qira ne lagjen emshir 21,2,83.0,2023-07-10,350.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
66,banese me qira ne lagjen mati 1 11,1,63.0,2023-07-10,250.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,ofrohet banese me qira ne lagjen aktash,2,82.0,2023-07-10,260.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,leshohet banese me qira ne qender,1,40.0,2023-07-10,200.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
69,leshohet banese  garsoniere  me qira ne ulpiane,1,25.0,2023-07-10,170.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,banese me qira ne lagjen bregu i diellit,1,52.0,2023-07-10,230.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71,leshohet banese me qira ne lagjen dardania,1,50.0,2023-07-10,300.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,banese moderne me qira ne lagjen arberia,1,60.0,2023-07-10,250.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
73,banese me qira te parku i qytetit,1,50.0,2023-07-10,250.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
74,super banese me qira ne rrugen c,2,91.0,2023-07-10,350.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
75,banese me qira ne lagje te spitalit,2,80.0,2023-07-10,320.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
76,banese me qira ne lagjen dardania,1,60.0,2023-07-10,250.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
77,banese me qira ne lagje te spitalit21,2,85.0,2023-07-10,400.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
78,banese me qira ne lagjen arberia,1,60.0,2023-07-10,350.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
79,banese me qira ne lagjen ulpiana,1,40.0,2023-07-10,170.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,banese me qira ne lagjen bregu i diellit,2,90.0,2023-07-10,450.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81,banese me qira ne lagjen emshir,1,55.0,2023-07-10,300.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
82,banese me qira ne lagjen bregu i diellit,2,75.0,2023-07-10,200.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83,banese me qira ne lagjen arberia,1,67.0,2023-07-10,320.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84,banese me qira ne lagjen mati 1,2,77.0,2023-07-10,350.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,banese me qira ne lagje te muhaxhereve,1,65.0,2023-07-10,250.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
86,banese me qira ne lagjen ulpiana,1,65.0,2023-07-10,250.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,banese me qira ne lagjen e spitalit,1,65.0,2023-07-10,250.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88,banese me qira ne lagjen bregu i diellit31,3,110.0,2023-07-10,400.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
89,banese me qira ne lagjen dardania21,2,80.0,2023-07-10,500.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
90,banese me qira ne lagje te spitalit21,2,96.0,2023-07-10,400.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
91,banese me qira ne lagjen rruga b,1,60.0,2023-07-10,260.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
92,banese me qira ne lagjen bregu i diellit,1,70.0,2023-07-10,250.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
93,banese me qira ne lagje te muhaxhereve,1,70.0,2023-07-10,300.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
94,banese me qira ne lagjen emshir,1,55.0,2023-07-10,350.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
95,banese me qira ne lagjen dardania,1,50.0,2023-07-10,330.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
96,banese me qira ne lagjen emshir11,1,55.0,2023-07-10,350.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
97,banese me qira ne lagjen dardani,1,60.0,2023-07-10,300.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
98,banese me qira ne lagjen emshir21,3,110.0,2023-07-10,420.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
99,banese me qira ne lagjen emshir,1,65.0,2023-07-10,320.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
