title,region,number_of_rooms,quadrat,price,date
Banese me qira ne lagjen Bregu i Diellit 1+1,Prishtine,1,60m 2,250 €,10/07/2023
Banese me qira ne lagjen e Spitalit 1+1,Prishtine,1,60m 2,2 €,10/07/2023
Banese me qira ne lagjen Dardani 1+1,Prishtine,1,66m 2,280 €,10/07/2023
Banese me qira ne lagjen Emshir 2+1,Prishtine,2,83m 2,350 €,10/07/2023
Banese me qira ne lagjen Mati 1 1+1,Prishtine,1,63m 2,250 €,10/07/2023
Ofrohet banese me qira ne lagjen Aktash,Prishtine,2,82m 2,260 €,10/07/2023
Leshohet banese me qira ne Qender,Prishtine,1,40m 2,200 €,10/07/2023
Leshohet banese ( garsoniere ) me qira ne Ulpiane,Prishtine,1,25m 2,170 €,10/07/2023
Banese me qira ne lagjen Bregu i diellit,Prishtine,1,52m 2,230 €,10/07/2023
Leshohet banese me qira ne lagjen Dardania,Prishtine,1,50m 2,300 €,10/07/2023
Banese moderne me qira ne lagjen Arberia,Prishtine,1,60m 2,250 €,10/07/2023
Banese me qira te Parku i qytetit,Prishtine,1,50m 2,250 €,10/07/2023
Super banese me qira ne Rrugen C,Prishtine,2,91m 2,350 €,10/07/2023
Banese me qira ne Lagje te Spitalit,Prishtine,2,80m 2,320 €,10/07/2023
Banese me qira ne lagjen Dardania,Prishtine,1,60m 2,250 €,10/07/2023
Banese me qira ne lagje te Spitalit_2+1,Prishtine,2,85m 2,400 €,10/07/2023
Banese me qira ne lagjen Arberia,Prishtine,1,60m 2,350 €,10/07/2023
Banese me qira ne lagjen Ulpiana,Prishtine,1,40m 2,170 €,10/07/2023
Banese me qira ne lagjen Bregu i Diellit,Prishtine,2,90m 2,450 €,10/07/2023
Banese me qira ne lagjen Emshir,Prishtine,1,55m 2,300 €,10/07/2023
Banese me qira ne lagjen Bregu i Diellit,Prishtine,2,75m 2,200 €,10/07/2023
Banese me qira ne lagjen Arberia,Prishtine,1,67m 2,320 €,10/07/2023
Banese me qira ne lagjen Mati 1,Prishtine,2,77m 2,350 €,10/07/2023
Banese me qira ne lagje te Muhaxhereve,Prishtine,1,65m 2,250 €,10/07/2023
Banese me qira ne lagjen Ulpiana,Prishtine,1,65m 2,250 €,10/07/2023
Banese me qira ne Lagjen e Spitalit,Prishtine,1,65m 2,250 €,10/07/2023
Banese me qira ne lagjen Bregu i Diellit_3+1,Prishtine,3,110m 2,400 €,10/07/2023
Banese me qira ne lagjen Dardania_2+1,Prishtine,2,80m 2,500 €,10/07/2023
Banese me qira ne lagje te Spitalit_2+1,Prishtine,2,96m 2,400 €,10/07/2023
Banese me qira ne lagjen Rruga B,Prishtine,1,60m 2,260 €,10/07/2023
Banese me qira ne lagjen Bregu i Diellit,Prishtine,1,70m 2,250 €,10/07/2023
Banese me qira ne lagje te Muhaxhereve,Prishtine,1,70m 2,300 €,10/07/2023
Banese me qira ne lagjen Emshir,Prishtine,1,55m 2,350 €,10/07/2023
Banese me qira ne lagjen Dardania,Prishtine,1,50m 2,330 €,10/07/2023
Banese me qira ne lagjen Emshir_1+1,Prishtine,1,55m 2,350 €,10/07/2023
Banese me qira ne lagjen Dardani,Prishtine,1,60m 2,300 €,10/07/2023
Banese me qira ne lagjen Emshir_2+1,Prishtine,3,110m 2,420 €,10/07/2023
Banese me qira ne lagjen Emshir,Prishtine,1,65m 2,320 €,10/07/2023
Banese me qira ne lagjen Arberia_2+1,Prishtine,1,85m 2,380 €,10/07/2023
Banese me qira ne lagjen e Muhaxhereve 2+1,Prishtine,2,95m 2,400 €,10/07/2023
Jap banesen me qera ne Prishtine,Prishtine,2,40m 2,170 €,10/07/2023
jap banesen me qera,Prishtine,2,40m 2,170 €,10/07/2023
LESHOHET BANESA ME QERA NE QENDER PER AFATSHKURTE.,Prishtine,1,18m 2,20 €,10/07/2023
2 BANESA ME QERA NE KALABRI (EMSHIR),Prishtine,3,85m 2,400 €,10/07/2023
BANESA ME QERA NE QENDER,Prishtine,2,52m 2,250 €,10/07/2023
BANESA ME QERA TE PARKU I QYTETIT (MAHALLA E MUHAXHERVE),Prishtine,3,90m 2,340 €,10/07/2023
Banese me qira ne lagjen Mati 1 2+1,Prishtine,2,0m 2,500 €,10/07/2023
Banese me qira ne lagjen Pejton 2+1,Prishtine,2,90m 2,700 €,10/07/2023
Banese me qira ne lagjen Arberia 2+1,Prishtine,2,90m 2,450 €,10/07/2023
Banese me qira ne lagjen Mati 1 1+1,Prishtine,1,60m 2,300 €,10/07/2023
Banese me qira ne lagjen Parku i Qytetit 2+1,Prishtine,2,100m 2,350 €,10/07/2023
Banese me qira ne lagjen Ulpiane 1+1,Prishtine,1,40m 2,250 €,10/07/2023
Banese me qira ne lagjen Mati 1 2+1,Prishtine,2,78m 2,330 €,10/07/2023
Banese me qira ne lagjen Ulpiane 2+1,Prishtine,2,50m 2,350 €,10/07/2023
Banese me qira ne lagjen e spitalit 2+1,Prishtine,2,80m 2,300 €,10/07/2023
Banese me qira ne lagjen Velania 2+1,Prishtine,2,85m 2,300 €,10/07/2023
Banese me qira ne lagjen Bregu i Diellit 2+1,Prishtine,2,70m 2,300 €,10/07/2023
Banese me qira ne lagjen Sllovenia e Sportit 2+1,Prishtine,2,95m 2,370 €,10/07/2023
Banese me qira ne lagjen Rruga B 2+1,Prishtine,2,75m 2,350 €,10/07/2023
Banese me qira ne lagjen Aktash 1+1,Prishtine,1,40m 2,200 €,10/07/2023
Banese me qira ne lagjen Ulpiane 1+1,Prishtine,1,55m 2,280 €,10/07/2023
Banese me qira ne lagjen Parku i Qytetit 1+1,Prishtine,1,60m 2,230 €,10/07/2023
Banese me qira ne lagjen 4 Llullat 1+1,Prishtine,1,42m 2,200 €,10/07/2023
Banese me qira ne lagjen Qender 2+1,Prishtine,2,75m 2,270 €,10/07/2023
Banes(Gasoniere)me qira ne lagjen Pejton,Prishtine,1,40m 2,250 €,10/07/2023
Banese me qira ne lagjen Bregu i Diellit 2+1,Prishtine,2,90m 2,400 €,10/07/2023
Banese me qira ne lagjen Mati 1 1+1,Prishtine,1,76m 2,300 €,10/07/2023
Banese me qira ne lagjen Ulpiane 1+1,Prishtine,1,20m 2,1 €,10/07/2023
Banese me qira ne lagjen Mati 1 1+1,Prishtine,1,73m 2,300 €,10/07/2023
