title,region,number_of_rooms,quadrat,date,price
Banese me qira ne lagjen Bregu i Diellit,Prishtine,1,65m 2,11/07/2023,250 €
Banese me qira ne lagjen Arberia_2+1,Prishtine,2,90m 2,11/07/2023,500 €
Banese me qira ne lagjen Tophane,Prishtine,2,80m 2,11/07/2023,300 €
Banese me qira ne Lagje te Spitalit_2+1,Prishtine,2,82m 2,11/07/2023,330 €
Banese me qira ne Rrugen B_2+1,Prishtine,2,83m 2,11/07/2023,400 €
Banese me qira ne lagjen Dardania,Prishtine,1,65m 2,11/07/2023,280 €
Banese (zyre) me qira ne Qender,Prishtine,2,80m 2,11/07/2023,350 €
Banese me qira ne Qender,Prishtine,1,60m 2,11/07/2023,250 €
Banese me qira ne lagjen Aktash,Prishtine,1,60m 2,11/07/2023,350 €
Banese me qira ne lagjen Lakrishte,Prishtine,1,67m 2,11/07/2023,300 €
Banese me qira ne lagjen Qender 2+1,Prishtine,2,70m 2,11/07/2023,300 €
Banese me qira ne lagjen e spitalit 2+1,Prishtine,2,71m 2,11/07/2023,250 €
Banese me qira ne lagjen Arberia 2+1,Prishtine,2,85m 2,11/07/2023,450 €
Banese me qira ne lagjen Arberi 2+1,Prishtine,2,86m 2,11/07/2023,400 €
Banese me qira ne lagjen Tophane 3+1,Prishtine,3,75m 2,11/07/2023,230 €
Banese me qira ne lagjen Dardania 1+1,Prishtine,1,50m 2,11/07/2023,200 €
Banese me qira ne lagjen e Muhaxherev 3+1,Prishtine,3,85m 2,11/07/2023,300 €
Banese me qira ne lagjen FushKosove 1+1,Prishtine,1,55m 2,11/07/2023,180 €
Banese me qira ne lagjen Lakrishte 1+1,Prishtine,1,52m 2,11/07/2023,300 €
Banese me qira ne lagjen e spitalit 2+1,Prishtine,2,71m 2,11/07/2023,250 €
LESHOHET BANESA ME QERA NE QENDER MBRAPA TEATRIT,Prishtine,2,50m 2,11/07/2023,400 €
LESHOHET BANESA ME QERA NE QENDER PER AFATSHKURTE.,Prishtine,1,18m 2,11/07/2023,20 €
2 BANESA ME QERA NE KALABRI (EMSHIR),Prishtine,3,85m 2,11/07/2023,400 €
BANESA ME QERA NE QENDER,Prishtine,2,52m 2,11/07/2023,250 €
jap banesen me qera,Prishtine,2,40m 2,11/07/2023,170 €
Ofrohet me Qira Banesa Moderne 105m² ne Rrugen Muharrem Fejza ! DREAM HOME,Prishtine,4,105m 2,11/07/2023,550 €
Banes 2 Dhomshe me Qira ne Kalabri te Kulla 1,Prishtine,2,85m 2,11/07/2023,350 €
Banes Komode me Qira ne Mat te Shk.F. Pavarsia,Prishtine,2,90m 2,11/07/2023,430 €
Super Banes me Qira ne Fushe Kosove Perball Bau Marketit,Fushe Kosove,2,76m 2,11/07/2023,250 €
Super Banes me Qira ne Aktash te Pika Luxury,Prishtine,1,45m 2,11/07/2023,350 €
Super Banes me Qira ne Dardani te Narteli - 130 M2,Prishtine,2,130m 2,11/07/2023,630 €
Banes Komode me Qira ne Fushe Kosove Afer Fures Vlora,Fushe Kosove,1,65m 2,11/07/2023,190 €
Banesa 72m2 me qira te Hotel Sirius ROZI,Prishtine,2,72m 2,11/07/2023,350 €
Banesa 85m2 me qira te Muharrem Fejza ROZI,Prishtine,3,85m 2,11/07/2023,350 €
Banesa 64m2 me qira te Muharrem Fejza ROZI,Prishtine,2,64m 2,11/07/2023,350 €
BANESE ME QIRA TE RRUGA “NENA TEREZE”,Fushe Kosove,3,86m 2,11/07/2023,220 €
BANESE ME QIRA AFER SHKOLLES “MIHAL GRAMENO”,Fushe Kosove,2,67m 2,11/07/2023,250 €
"LOKAL ME QIRA NE FUSHE KOSOVE, TE XHAMIA E RE",Fushe Kosove,1,100m 2,11/07/2023,"1,000 €"
Banesa 64m2 me qira te Muharrem Fejza ROZI,Prishtine,1,64m 2,11/07/2023,400 €
Banesa 50m2 me qira ne Ulpiane ROZI,Prishtine,1,50m 2,11/07/2023,350 €
Banese me qera ne Arberi 2+1,Prishtine,2,70m 2,10/07/2023,300 €
Super banese me qira ne Lagjen Arberia,Prishtine,2,85m 2,10/07/2023,550 €
